id_orgao,orgao,link
201890,PALMEIRANTE - TO,
201900,MARACACUME - MA,
201910,PAU D'ARCO - TO,
201920,MARAJÁ DO SENA - MA,
201930,RIACHINHO - TO,
201940,MARANHAOZINHO - MA,
201950,SANTA FE DO ARAGUAIA - TO,
201960,MATOES DO NORTE - MA,
201970,SAO BENTO DO TOCANTINS - TO,
201980,MILAGRES DO MARANHÃO - MA,
201990,SAO MIGUEL DO TOCANTINS - TO,
202000,NOVA COLINAS - MA,
202010,NOVO AIRAO - AM,
202020,NOVA OLINDA DO MARANHAO - MA,
202030,ANORI - AM,
202040,OLINDA NOVA DO MARANHAO - MA,
202050,"ATALAIA DO NORTE
- AM",
202060,PAULINO NEVES - MA,
202070,AUTAZES - AM,
202080,PEDRO DO ROSÁRIO - MA,
202090,BARCELOS - AM,
202100,PERITORO - MA,
202110,BARREIRINHA - AM,
202120,PORTO RICO DO MARANHAO - MA,
202130,BENJAMIN CONSTANT - AM,
202140,"PRESIDENTE MEDICI
- MA",
202150,BOCA DO ACRE - AM,
202160,PRESIDENTE SARNEY - MA,
202170,BORBA - AM,
202180,RAPOSA - MA,
202190,CANUTAMA - AM,
202200,RIBAMAR FIQUENE- MA,
202210,CARAUARI - AM,
202220,SANTA FILOMENA DO MARANHAO - MA,
202230,CAREIRO - AM,
202240,SANTANA DO MARANHAO - MA,
202250,COARI - AM,
202260,SANTO AMARO DO MARANHA -MA,
202270,CODAJAS - AM,
202280,SÃO DOMINGOS DO AZEITAO - MA,
202290,EIRUNEPE - AM,
202300,SÃO FRANCISCO DO BREJAO - MA,
202310,ENVIRA - AM,
202320,SÃO JOAO DO CARU - MA,
202330,FONTE BOA - AM,
202340,SÃO JOAO DO PARAISO - MA,
202350,HUMAITA - AM,
202360,"SÃO JOAO DO SOTER
- MA",
202370,STA. ISABEL DO RIO NEGRO - AM,
202380,SÃO JOSE DOS BASILIOS - MA,
202390,IPIXUNA - AM,
202400,SÃO PEDRO DA AGUA BRANCA - MA,
202410,ITACOATIARA - AM,
202420,SÃO PEDRO DOS CRENTES - MA,
202430,ITAPIRANGA - AM,
202440,SÃO RAIMUNDO DO DOCA BEZERRA - MA,
202450,JAPURA - AM,
202460,ROBERTO - MA,
202470,JURUA - AM,
202480,SATUBINHA - MA,
202490,JUTAI - AM,
202500,SENADOR ALEXANDRE COSTA - MA,
202510,LABREA - AM,
202520,SENADOR LA ROCQUE - MA,
202530,MANACAPURU - AM,
202540,SERRA DO MARANHAO - MA,
202550,MANAUS - AM,
202560,SUCUPIRA DO RIACHAO - MA,
202570,MANICORE - AM,
202580,"TRIZIDELA DO VALE
- MA",
202590,MARAA - AM,
202600,TUFILANDIA - MA,
202610,MAUES - AM,
202620,TURILANDIA – MA,
202630,NHAMUNDA - AM,
202640,VILA NOVA DOS MARTIRIOS - MA,
202650,NOVA OLINDA DO NORTE - AM,
202660,ACAUA - PI,
202670,NOVO ARIPUANA - AM,
202680,ALVORADA DO GURGUEIA - PI,
202690,PARINTINS - AM,
202700,"ASSUNÇÃO DO PIAUI
- PI",
202710,PAUINI - AM,
202720,BARRA D’ALCANTARA - PI,
202730,SANTO ANTONIO DO ICA - AM,
202740,BELA VISTA DO PIAUI - PI,
202750,SAO PAULO DE OLIVENCA - AM,
202760,BELEM DO PIAUI - PI,
202770,SILVES - AM,
202780,BETANIA DO PIAUI - PI,
202790,TAPAUA - AM,
202800,BOA HORA - PI,
202810,TEFE - AM,
202820,BOQUEIRAO DO PIAUI - PI,
202830,S. GABRIEL DA CACHOEIRA - AM,
202840,BRAJO DO PIAUI - PI,
202850,URUCARA - AM,
202860,CAJAZEIRAS DO PIAUI - PI,
202870,URUCURITUBA - AM,
202880,"CAJUEIRO DA PRAIA
- PI",
202890,ALVARAES - AM,
202900,CAMPO ALEGRE DO FIDALGO - PI,
202910,AMATURA - AM,
202920,CAMPO GRANDE DO PIAUI - PI,
202930,ANAMA - AM,
202940,CAMPO LARGO DO PIAUI - PI,
202950,BERURI - AM,
202960,CAPITAO GERVASIO OLIVEIRA - PI,
202970,BOA VISTA DO RAMOS - AM,
202980,"CARAUBAS DO PIAUI
- PI",
202990,CAAPIRANGA - AM,
203000,"CARIDADE DO PIAUI
- PI",
203010,BOA VISTA - RR,
203020,CAXINGO - PI,
203030,CARACARAI - RR,
203040,COCAL DE TELHA - PI,
203050,ALTO ALEGRE - RR,
203060,COCAL DOS ALVES - PI,
203070,BONFIM - RR,
203080,CURRAIS - PI,
203090,MUCAJAI - RR,
203100,CURRALINHOS - PI,
203110,NORMANDIA - RR,
203120,CURRAL NOVO DO PIAUI - PI,
203130,SAO JOAO DA BALIZA - RR,
203140,"FLORESTA DO PIAUI
- PI",
203150,SAO LUIZ - RR,
203160,"FRANCISCO MACEDO
- PI",
203170,MATEIROS - TO,
203180,GEMINIANO - PI,
203200,GUARIBAS - PI,
203210,NOVO JARDIM - TO,
203220,ILHA GRANDE - PI,
203230,RIO DA CONCEICAO - TO,
203240,JATOBA DO PIAUI - PI,
203250,TAIPAS DO TOCANTINS - TO,
203260,JOAO COSTA - PI,
203270,CARIRI DO TOCANTINS - TO,
203280,JOCA MARQUES - PI,
203290,JAU DO TOCANTINS - TO,
203300,JUAZEIRO DO PIAUI - PI,
203310,SANDOLANDIA - TO,
203320,JULIO BORGES - PI,
203330,S. SALVADOR DO TOCANTINS - TO,
203340,JUREMA - PI,
203350,SUCUPIRA - TO,
203360,"LAGOINHA DO PIAUI
- PI",
203370,ABREULANDIA - TO,
203380,LAGOA DO SÃO FRANCISCO - PI,
203390,BRASILANDIA DO TOCANTINS - TO,
203400,LAGOA DO PIAUI - PI,
203410,BOM JESUS DO TOCANTINS - TO,
203420,LAGOA DO SITIO - PI,
203430,CENTENARIO - TO,
203440,MADEIRO - PI,
203450,FORTALEZA DO TABOCAO - TO,
203460,MASSAPE DO PIAUI - PI,
203470,ITAPIRATINS - TO,
203480,MILTON BRANDAO - PI,
203490,JUARINA - TO,
203500,MORRO CABEÇA NO TEMPO - PI,
203510,LAJEADO - TO,
203520,MORRO DO CHAPEU DO PIAUI - PI,
203530,LAGOA DO TOCANTINS - TO,
203540,MURICI DOS PORTELAS - PI,
203550,PIRAQUE - TO,
203560,NOSSA SENHORA DE NAZARE - PI,
203570,RECURSOLANDIA - TO,
203580,NOVO SANTO ANTONIO - PI,
203590,RIO DOS BOIS - TO,
203600,OLHO D’AGUA DO PIAUI - PI,
203610,STA. MARIA DO TOCANTINS - TO,
203620,PAJEU DO PIAUI - PI,
203630,SAO FELIX DO TOCANTINS - TO,
203640,PAQUETA - PI,
203650,TUPIRATINS - TO,
203660,PAVUSSO - PI,
203670,LAGOA DA CONFUSAO - TO,
203680,"PEDRO LAURENTINO
- PI",
203690,SANTA BARBARA DO PARA - PA,
203700,NOVA SANTA RITA - PI,
203710,SANTA LUZIA DO PARA - PA,
203720,PORTO ALEGRE DO PIAUI - PI,
203730,TERRA ALTA - PA,
203740,RIACHO FRIO - PI,
203750,ABEL FIGUEIREDO - PA,
203760,RIBEIRA DO PIAUI - PI,
203770,ELDORADO DO CARAJAS - PA,
203780,SANTO ANTONIO DO,
203780,SANTO ANTONIO DOMILAGRE - PI,
203790,"PALESTINA DO PARA
- PA",
203800,SÃO FRANCISCO DE ASSIS DO PIAUI - PI,
203810,S. DOMINGOS DO ARAGUAIA - PA,
203820,SÃO GONÇALO DO GURGUEIA - PI,
203830,AGUA AZUL DO NORTE - PA,
203840,SÃO JOAO DA FRONTEIRA - PI,
203850,"CUMARU DO NORTE
- PA",
203860,SÃO JOAO DA VARJOTA - PI,
203870,PAU D'ARCO - PA,
203880,SÃO JOAO DO ARRAIAL - PI,
203890,AURORA DO PARA - PA,
203900,SÃO LUIS DO PIAUI - PI,
203910,NOVA ESPERANCA DO PIRIA - PA,
203920,SÃO MIGUEL DA BAIXA GRANDE - PI,
203930,SAO JOAO DE PIRABAS - PA,
203940,SÃO MIGUEL DO FIDALGO - PI,
203950,TAILANDIA - PA,
203960,"SEBASTIAO BARROS
- PI",
203970,TUCUMA - PA,
203980,SEBASTIAO LEAL - PI,
203990,URUARA - PA,
204000,SUSSUAPARA - PI,
204010,ABAETETUBA - PA,
204020,"TAMBORIU DO PIAUI
- PI",
204030,ACARA - PA,
204040,TANQUE DO PIAUI - PI,
204050,AFUA - PA,
204060,VERA MENDES - PI,
204070,ALENQUER - PA,
204080,VILA NOVA DO PIAUI,
204080,VILA NOVA DO PIAUI - PI,
204090,ALMEIRIM - PA,
204100,WALL FERRAZ - PI,
204110,ALTAMIRA - PA,
204120,BODO - RN,
204130,ANAJAS - PA,
204140,"CAICARA DO NORTE
- RN",
204150,ANANINDEUA - PA,
204160,FERNANDO PEDROZA - RN,
204170,AUGUSTO CORREA - PA,
204180,ITAJA - RN,
204190,AVEIRO - PA,
204200,MAJOR SALES - RN,
204210,BAGRE - PA,
204220,RIO DO FOGO - RN,
204230,BAIAO - PA,
204240,SANTA MARIA - RN,
204250,BARCARENA - PA,
204260,PORTO DO MANGUE - RN,
204270,BELEM - PA,
204280,TIBAU - RN,
204290,BENEVIDES - PA,
204300,SÃO MIGUEL DE TOUROS - RN,
204310,BONITO - PA,
204320,SERRINHA DOS PINTOS - RN,
204330,BRAGANCA - PA,
204340,TENENTE LAURENTINO CRUZ - RN,
204350,BREVES - PA,
204360,TRIUNFO POTIGUAR - RN,
204370,BUJARU - PA,
204380,VENHA-VER - RN,
204390,CACHOEIRA DO ARARI - PA,
204400,ALCANTIL - PB,
204410,CAMETA - PA,
204420,ALGODAO DE JANDAIRA - PB,
204430,CAPANEMA - PA,
204440,AMPARO - PB,
204450,CAPITAO POCO - PA,
204460,APARECIDA - PB,
204470,CASTANHAL - PA,
204480,AREIA DE BARAUNAS - PB,
204490,CHAVES - PA,
204500,ASSUNÇAO - PB,
204510,COLARES - PA,
204520,BARAUNA - PB,
204530,CONCEICAO DO ARAGUAIA - PA,
204540,"BARRA DE SANTANA
- PB",
204550,CURRALINHO - PA,
204560,BERNARDINO BATISTA - PB,
204570,CURUCA - PA,
204580,BOA VISTA - PB,
204590,FARO - PA,
204600,CACIMBAS - PB,
204610,GURUPA - PA,
204620,CAJAZEIRINHAS - PB,
204630,IGARAPE-ACU - PA,
204640,CAPIM - PB,
204650,IGARAPE-MIRI - PA,
204660,CARAUBAS - PB,
204670,INHANGAPI - PA,
204680,CASSERENGUE - PB,
204690,IRITUIA - PA,
204700,CATURITE - PB,
204710,ITAITUBA - PA,
204720,COXIXOLA - PB,
204730,ITUPIRANGA - PA,
204740,UITE DE MAMANGUAPE - PB,
204750,JACUNDA - PA,
204760,CURRAL DE CIMA - PB,
204770,JURUTI - PA,
204780,DAMIAO - PB,
204790,"LIMOEIRO DO AJURU
- PA",
204800,GADO BRAVO - PB,
204810,MAGALHAES BARATA - PA,
204820,LOGRADOURO - PB,
204830,MARABA - PA,
204840,MARCACAO - PB,
204850,MARACANA - PA,
204860,MARIZOPOLIS - PB,
204870,MARAPANIM - PA,
204880,MATINHAS - PB,
204890,MELGACO - PA,
204900,MATO GROSSO - PB,
204910,MOCAJUBA - PA,
204920,MATUREIA - PB,
204930,MOJU - PA,
204940,PARARI - PB,
204950,MONTE ALEGRE - PA,
204960,POÇO DANTAS - PB,
204970,MUANA - PA,
204980,POÇO DE JOSE DE MOURA - PB,
204990,NOVA TIMBOTEUA - PA,
205000,PEDRO REGIS - PB,
205010,OBIDOS - PA,
205020,RIACHAO - PB,
